nbd,foodgrp,name,water,energy,protein,carb,fiber,sugar,sodium,satfat,chol
8510,Snacks,MILK & CRL BAR,8.69,413,6.47,72.05,0.4,45.97,319,9.114,6
8546,Snacks,RICE & WHEAT CRL BAR,7.5,409,9.09,72.73,1.8,31.8,500,0,0
14003,Beverages,"ALCOHOLIC BEV,BEER,REG,ALL",91.96,43,0.46,3.55,0,0,4,0,0
14006,Beverages,"ALCOHOLIC BEV,BEER,LT",94.88,29,0.24,1.64,0,0.09,4,0,0
14010,Beverages,"ALCOHOLIC BEV,DAIQUIRI,PREPARED-FROM-RECIPE",69.74,186,0.06,6.94,0.1,5.58,5,0.006,0
14016,Beverages,"BEVERAGES,ALMOND MILK,SWTND,VANILLA FLAVOR,RTD",91.8,38,0.42,6.59,0.4,6.25,63,0,0
14017,Beverages,"ALCOHOLIC BEV,PINA COLADA,PREPARED-FROM-RECIPE",64.99,174,0.42,22.66,0.3,22.33,6,1.636,0
14021,Beverages,"BEVERAGES,ENERGY DRK,CITRUS",88.45,45,0,11.27,0,10.42,10,0,0
14022,Beverages,"BEVERAGES,MONSTER ENERGY DRK,LO CARB",98.35,5,0,1.38,0,1.38,75,0,0
14024,Beverages,"WHISKEY SOUR MIX,PDR",0.6,383,0.6,97.3,0,97.3,274,0.019,0
14025,Beverages,"ALCOHOLIC BEV,WHISKEY SOUR,PREP W/ H2O,WHISKEY & PDR MIX",69.15,164,0.1,15.85,0,15.81,47,0.003,0
14026,Beverages,"BEVERAGES,ENERGY DRK,SUGAR-FREE W/ GUARANA",98.35,4,0,1.03,0,0,85,0,0
14028,Beverages,"WHISKEY SOUR MIX,BTLD",78.2,87,0.1,21.4,0,21.4,102,0.008,0
14029,Beverages,"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14028",72.44,153,0.06,12.82,0,12.78,61,0.005,0
14030,Beverages,"BEVERAGES,ENERGY DRK,ORIGINAL,GRAPE,LOADED CHERRY, CITRUS",88.45,44,0,11.25,0,11.25,85,0,0
14031,Beverages,"BEVERAGES,H2O,BTLD,YUMBERRY,POMEGRANATE W/ ANTI-OXIDANTS",98.75,5,0,1.25,0,0,10,0,0
14033,Beverages,"BEVERAGES,ABBOTT,EAS WHEY PROT PDR",6.61,385,66.67,17.95,0,5.13,385,2.564,205
14034,Beverages,"ALCOHOLIC BEV,CREME DE MENTHE,72 PROOF",28.3,371,0,41.6,0,41.6,5,0.014,0
14035,Beverages,"BEVERAGES,ABBOTT,EAS SOY PROT PDR",2.83,405,47.62,43.94,0,40.48,452,0,0
14036,Beverages,"BEVERAGES,CYTOSPORT,MUSCLE MILK,RTD",88.8,49,5.87,2.06,0.2,0.78,95,0.221,2
14037,Beverages,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF",66.6,231,0,0,0,0,1,0,0
14038,Beverages,"BEVERAGES,OCEAN SPRAY,CRAN-ENERGY,CRANBERRY ENERGY JUC DRK",96.18,15,0,3.75,0,3.75,21,0,0
14041,Beverages,"BEVERAGES,NESTLE,BOOST PLUS,NUTRITIONAL DRK,RTD",71.1,138,5.38,17.29,1.2,8.46,77,0.42,4
14044,Beverages,"BEVERAGES,SLIMFAST,MEAL REPLCMNT,HI PROT SHAKE,RTD,3-2-1",88.33,58,6.59,0.85,0.4,0.6,72,0.45,4
